# bitmaptools bench, Raspberry Pi 5 Model B Rev 1.0, Python 3.13.5, 240x240 4-bit, displayio from /home/pi/blinka-turbo/main240/displayio
| case | pixels | median ms | us per pixel | sha256 |
|---|---|---|---|---|
| bitmap[x, y] = v, every pixel | 57600 | 127.3 | 2.21 | 4b5420481545 |
| v = bitmap[x, y], every pixel | 57600 | 40.3 | 0.70 | 460a263aa241 |
| Bitmap.fill | 57600 | 0.4 | 0.01 | 6850147ad542 |
| fill_region, whole bitmap | 57600 | 123.0 | 2.14 | 6850147ad542 |
| blit, whole bitmap | 57600 | 195.2 | 3.39 | daebaf16a1d8 |
| blit 64x64, skip_source_index | 4096 | 13.4 | 3.27 | 5811232d7bc6 |
| rotozoom 64x64, 30 degrees, scale 2 | 16384 | 53.7 | 3.28 | 6a081ac4555a |
| draw_line x 20, corner to corner | 4800 | 10.9 | 2.27 | c557a2875931 |
| draw_circle x 20 |  | 14.8 |  | 7a5b84c1ec48 |
| boundary_fill inside a ring |  | 79.9 |  | 6d73c4f8bb54 |
# output sha256 8bed9684ccfb
| values | before | rectangle | dirty area after | error | sha256 |
|---|---|---|---|---|---|
| 2 | clean | inside | 3,4,20,17 |  | 83bc120169ff |
| 2 | clean | whole | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | clean | 1x1 | 7,8,8,9 |  | 8fe5480b2006 |
| 2 | clean | off left | 0,2,10,12 |  | 8c38e3bb67d2 |
| 2 | clean | off top | 4,0,12,9 |  | 508028b8c6cf |
| 2 | clean | off bottom right | 30,20,40,30 |  | 31e33ef1f19d |
| 2 | clean | larger than bitmap | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | clean | all right of bitmap | 45,0,40,30 |  | 044b7b2430c3 |
| 2 | clean | all above and left | 0,0,-2,30 |  | 2a029af87752 |
| 2 | clean | reversed x | 0,0,0,30 |  | 9e7b077f2865 |
| 2 | clean | reversed y | 0,0,0,30 |  | 9e7b077f2865 |
| 2 | clean | zero width | 0,0,0,30 |  | 9e7b077f2865 |
| 2 | clean | zero height | 0,0,0,30 |  | 9e7b077f2865 |
| 2 | new bitmap | inside | 0,0,40,30 |  | f66132bfde31 |
| 2 | new bitmap | whole | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | new bitmap | 1x1 | 0,0,40,30 |  | ac6a6e6fc27a |
| 2 | new bitmap | off left | 0,0,40,30 |  | 721fb5a5ae3d |
| 2 | new bitmap | off top | 0,0,40,30 |  | 90f8ecec683f |
| 2 | new bitmap | off bottom right | 0,0,40,30 |  | d5945e8f8ad3 |
| 2 | new bitmap | larger than bitmap | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | new bitmap | all right of bitmap | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | new bitmap | all above and left | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | new bitmap | reversed x | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | new bitmap | reversed y | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | new bitmap | zero width | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | new bitmap | zero height | 0,0,40,30 |  | 17b9f745ec79 |
| 2 | one pixel dirty | inside | 3,4,34,26 |  | 2534ea22076c |
| 2 | one pixel dirty | whole | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | one pixel dirty | 1x1 | 7,8,34,26 |  | 781383df20cb |
| 2 | one pixel dirty | off left | 0,2,34,26 |  | d0fe9182c4ab |
| 2 | one pixel dirty | off top | 4,0,34,26 |  | 269ed393b34e |
| 2 | one pixel dirty | off bottom right | 30,20,40,30 |  | 31e33ef1f19d |
| 2 | one pixel dirty | larger than bitmap | 0,0,40,30 |  | 754b3da0ea4a |
| 2 | one pixel dirty | all right of bitmap | 33,5,40,26 |  | 971f03f2557d |
| 2 | one pixel dirty | all above and left | 0,0,34,26 |  | d23606c0145a |
| 2 | one pixel dirty | reversed x | 33,25,34,26 |  | d42398d67055 |
| 2 | one pixel dirty | reversed y | 33,25,34,26 |  | d42398d67055 |
| 2 | one pixel dirty | zero width | 33,25,34,26 |  | d42398d67055 |
| 2 | one pixel dirty | zero height | 33,25,34,26 |  | d42398d67055 |
| 16 | clean | inside | 3,4,20,17 |  | 884aa81d8d4d |
| 16 | clean | whole | 0,0,40,30 |  | f2be3a462a95 |
| 16 | clean | 1x1 | 7,8,8,9 |  | 3071babd850e |
| 16 | clean | off left | 0,2,10,12 |  | da7e6cad4f48 |
