# kernel: /home/pi/blinka-turbo/fastpath/fill_kernel.py
# displayio refresh, Raspberry Pi 5 Model B Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:20
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 121.8 | 120.4 | 124.1 | 1.05 | 8.2 |
| move 32x32 sprite 8 px | 1285 | 1.6 | 1.6 | 1.7 | 1.27 | 612.0 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 124.4 | 124.4 | 124.7 | 1.08 | 8.0 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
# import numba 0.67.0: 0.21 s
# kernel: /home/pi/blinka-turbo/fastpath/fill_kernel.py
# displayio refresh, Raspberry Pi 5 Model B Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:20
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 4.6 | 4.5 | 5.0 | 0.04 | 219.2 |
| move 32x32 sprite 8 px | 1285 | 0.1 | 0.1 | 0.2 | 0.09 | 8434.0 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 4.6 | 4.5 | 4.6 | 0.04 | 219.3 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
# kernel: /home/pi/blinka-turbo/fastpath/cy/fill_kernel.cpython-313-aarch64-linux-gnu.so
# displayio refresh, Raspberry Pi 5 Model B Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:20
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 3.5 | 3.5 | 3.8 | 0.03 | 288.9 |
| move 32x32 sprite 8 px | 1285 | 0.1 | 0.1 | 0.1 | 0.08 | 9847.7 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 3.5 | 3.5 | 3.5 | 0.03 | 288.6 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
