## stock 
# displayio from /home/pi/env/lib/python3.13/site-packages/displayio, fast path off, SPI 24000000 Hz
| scene | median ms | fps |
| full-screen fill, 480x320 | 1156.5 | 0.9 |
| move 48x48 sprite 10 px | 11.2 | 89.1 |
## patched 
# displayio from /home/pi/blinka-turbo/patched/displayio, fast path off, SPI 24000000 Hz
| scene | median ms | fps |
| full-screen fill, 480x320 | 577.4 | 1.7 |
| move 48x48 sprite 10 px | 11.2 | 89.1 |
## stock --fast cython
# displayio from /home/pi/env/lib/python3.13/site-packages/displayio, fast path cython, SPI 24000000 Hz
| scene | median ms | fps |
| full-screen fill, 480x320 | 261.0 | 3.8 |
| move 48x48 sprite 10 px | 2.7 | 363.7 |
## patched --fast cython
# displayio from /home/pi/blinka-turbo/patched/displayio, fast path cython, SPI 24000000 Hz
| scene | median ms | fps |
| full-screen fill, 480x320 | 130.6 | 7.7 |
| move 48x48 sprite 10 px | 2.7 | 364.4 |
