# vectorio travel, 240x240 rotation 0, Raspberry Pi 5 Model B Rev 1.0, vectorio from /home/pi/blinka-turbo/main245/vectorio/__init__.py
| scene | framebuffer | redrawn | |
|---|---|---|---|
| rectangle, 2 px                    | 4ceaa6c095bc |    440 px | ok |
| rectangle, its own width           | 08e43c416513 |    800 px | ok |
| rectangle, well past itself        | c6bb50039b27 |   1600 px | ok |
| rectangle, back again              | a9a21c6b4bef |   3200 px | ok |
| rectangle, diagonal jump           | eea0816e194e |   4000 px | ok |
| rectangle, off the right           | 42317febe984 |   2000 px | ok |
| rectangle, off the left            | 104a2c587f8d |    600 px | ok |
| rectangle, off the bottom          | d1244514e11f |   1400 px | ok |
| rectangle, three moves, one refresh | 6ac45990daf3 |   1800 px | ok |
| rectangle, two refreshes apart     | 6ac45990daf3 |   2200 px | ok |
| circle, well past itself           | c87bc97ce664 |   1804 px | ok |
| circle, diagonal jump              | 34aa774f0179 |   3619 px | ok |
| polygon, well past itself          | 050a0d64a7cb |   1248 px | ok |
| polygon, off the top               | 2d137c4894b3 |    468 px | ok |
| rectangle, resized                 | be60b6a48aee |    800 px | ok |
| circle, resized                    | 57e98776d3b0 |   2116 px | ok |
| rectangle, hidden                  | d8b443032200 |    400 px | ok |
| rectangle, hidden then shown       | a9a21c6b4bef |    800 px | ok |
| two shapes, both jump              | 577cbf8a08fa |   2282 px | ok |
| two shapes, crossing               | 565097d9c1f4 |   1994 px | ok |
| rectangle under scale 2            | 1e9619e205a7 |   1200 px | ok |
| circle under scale 2               | 464ac8a59a5e |   1144 px | ok |
| rectangle, no change at all        | a9a21c6b4bef |      0 px | ok |
| transparent shape, well past itself | f39263a9aab5 |   1600 px | ok |
| transparent over a solid, crossing | d1ed34a97ad4 |   1900 px | ok |
| rectangle, crosses the screen      | bd6a4c9d4a2c |   4500 px | ok |
| circle, crosses the screen         | e5a4a3dbe087 |   4994 px | ok |
| rectangle, crosses diagonally      | 1b48be51d205 |  50625 px | ok |
| rectangle, many small steps        | c0e923f37d82 |   5060 px | ok |
| circle, many small steps           | fde2bc927605 |   5148 px | ok |
# vectorio travel, 480x320 rotation 0, Raspberry Pi 5 Model B Rev 1.0, vectorio from /home/pi/blinka-turbo/main245/vectorio/__init__.py
| scene | framebuffer | redrawn | |
|---|---|---|---|
| rectangle, 2 px                    | 68e06cda03d0 |    440 px | ok |
| rectangle, its own width           | aa59db0312ac |    800 px | ok |
| rectangle, well past itself        | 11d51421f7af |   1600 px | ok |
| rectangle, back again              | 6105b113eab0 |   3200 px | ok |
| rectangle, diagonal jump           | b9897cd67d43 |   4000 px | ok |
| rectangle, off the right           | 5bdf83032451 |   2000 px | ok |
| rectangle, off the left            | bfa8c428f975 |    600 px | ok |
| rectangle, off the bottom          | d97dd86caebf |   1400 px | ok |
| rectangle, three moves, one refresh | e435a975e42c |   1800 px | ok |
| rectangle, two refreshes apart     | e435a975e42c |   2200 px | ok |
| circle, well past itself           | c37a7a4d2d68 |   1804 px | ok |
| circle, diagonal jump              | 35f9035a2ba8 |   3619 px | ok |
| polygon, well past itself          | d9e01eaafd38 |   1248 px | ok |
| polygon, off the top               | 436a76ae5a08 |    468 px | ok |
| rectangle, resized                 | 39d8023ddb23 |    800 px | ok |
| circle, resized                    | cf43efe14216 |   2116 px | ok |
| rectangle, hidden                  | 7818f5542a04 |    400 px | ok |
| rectangle, hidden then shown       | 6105b113eab0 |    800 px | ok |
| two shapes, both jump              | 18e169b78589 |   2282 px | ok |
| two shapes, crossing               | 1b8a585f16cc |   1994 px | ok |
| rectangle under scale 2            | 17d8ccd454fe |   1200 px | ok |
| circle under scale 2               | 22347e466ede |   1144 px | ok |
| rectangle, no change at all        | 6105b113eab0 |      0 px | ok |
| transparent shape, well past itself | ccff21fb7573 |   1600 px | ok |
| transparent over a solid, crossing | 079d6fb535aa |   1900 px | ok |
| rectangle, crosses the screen      | d78c63be45b2 |   9300 px | ok |
| circle, crosses the screen         | b92e4a6d2389 |  10274 px | ok |
| rectangle, crosses diagonally      | 879c3cc2ba27 | 141825 px | ok |
| rectangle, many small steps        | 9785d9e266cb |   5060 px | ok |
| circle, many small steps           | a09fef79bb6c |   5148 px | ok |
# vectorio travel, 96x64 rotation 0, Raspberry Pi 5 Model B Rev 1.0, vectorio from /home/pi/blinka-turbo/main245/vectorio/__init__.py
| scene | framebuffer | redrawn | |
