# bitmaptools bench, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 4-bit, displayio from /home/pi/blinka-turbo/fr5b/displayio
| case | pixels | median ms | us per pixel | sha256 |
|---|---|---|---|---|
| bitmap[x, y] = v, every pixel | 57600 | 1319.8 | 22.91 | 4b5420481545 |
| v = bitmap[x, y], every pixel | 57600 | 336.6 | 5.84 | 460a263aa241 |
| Bitmap.fill | 57600 | 4.1 | 0.07 | 6850147ad542 |
| fill_region, whole bitmap | 57600 | 329.3 | 5.72 | 6850147ad542 |
| blit, whole bitmap | 57600 | 2000.2 | 34.73 | daebaf16a1d8 |
| blit 64x64, skip_source_index | 4096 | 135.7 | 33.12 | 5811232d7bc6 |
| rotozoom 64x64, 30 degrees, scale 2 | 16384 | 551.0 | 33.63 | 6a081ac4555a |
| draw_line x 20, corner to corner | 4800 | 111.5 | 23.22 | c557a2875931 |
| draw_circle x 20 |  | 148.6 |  | 7a5b84c1ec48 |
| boundary_fill inside a ring |  | 789.3 |  | 6d73c4f8bb54 |
# output sha256 8bed9684ccfb
# fill_region checks: 156 cases, sha256 73da4fe869a2
