# bitmaptools bench, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 4-bit, displayio from /home/pi/env/lib/python3.13/site-packages/displayio
| case | pixels | median ms | us per pixel | sha256 |
|---|---|---|---|---|
| bitmap[x, y] = v, every pixel | 57600 | 1333.4 | 23.15 | 4b5420481545 |
| v = bitmap[x, y], every pixel | 57600 | 337.3 | 5.86 | 460a263aa241 |
| Bitmap.fill | 57600 | 4.2 | 0.07 | 6850147ad542 |
| fill_region, whole bitmap | 57600 | 1274.8 | 22.13 | 6850147ad542 |
| blit, whole bitmap | 57600 | 1999.2 | 34.71 | daebaf16a1d8 |
| blit 64x64, skip_source_index | 4096 | 137.1 | 33.48 | 5811232d7bc6 |
| rotozoom 64x64, 30 degrees, scale 2 | 16384 | 560.0 | 34.18 | 6a081ac4555a |
| draw_line x 20, corner to corner | 4800 | 113.2 | 23.58 | c557a2875931 |
| draw_circle x 20 |  | 151.1 |  | 7a5b84c1ec48 |
| boundary_fill inside a ring |  | 2680.2 |  | 6d73c4f8bb54 |
# output sha256 8bed9684ccfb
