# blit scenes, 16x16 source holding y*16+x, bitmaptools from /home/pi/blinka-turbo/blity1/bitmaptools/__init__.py
| scene | copied | asked for | |
|---|---|---|---|
| whole bitmap                       | [0, 1, 2, 3, 4, 5] | [0, 1, 2, 3, 4, 5] | ok |
| y1=1                               | [16, 17, 18, 19, 20, 21] | [16, 17, 18, 19, 20, 21] | ok |
| y1=3, y2=7                         | [48, 49, 50, 51, 52, 53] | [48, 49, 50, 51, 52, 53] | ok |
| y1=8, bottom half                  | [128, 129, 130, 131, 132, 133] | [128, 129, 130, 131, 132, 133] | ok |
| x1=4                               | [4, 5, 6, 7, 8, 9] | [4, 5, 6, 7, 8, 9] | ok |
| x1=4 and y1=4                      | [68, 69, 70, 71, 72, 73] | [68, 69, 70, 71, 72, 73] | ok |
| y1=15, last row                    | [240, 241, 242, 243, 244, 245] | [240, 241, 242, 243, 244, 245] | ok |
| placed at 2,3                      | [80, 81, 82, 83, 84, 85] | [80, 81, 82, 83, 84, 85] | ok |
| placed at 8,8, clipped             | [64, 65, 66, 67, 68, 69] | [64, 65, 66, 67, 68, 69] | ok |
| one pixel, x1=5 y1=6               | [101] | [101] | ok |
| y1=2 with skip_source_index        | [32, 33, 34, 35, 36, 37] | [32, 33, 34, 35, 36, 37] | ok |
| y1=2 with skip_dest_index          | [32, 33, 34, 35, 36, 37] | [32, 33, 34, 35, 36, 37] | ok |
| y2 past the source                 | [64, 65, 66, 67, 68, 69] | [64, 65, 66, 67, 68, 69] | ok |
| reversed region, y2 < y1           | [64, 65, 66, 67, 68, 69] | [64, 65, 66, 67, 68, 69] | ok |
