# kernel: /home/pi/blinka-turbo/fastpath/fill_kernel.py
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:20
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 1241.5 | 1222.2 | 1256.2 | 10.74 | 0.8 |
| move 32x32 sprite 8 px | 1285 | 16.1 | 16.1 | 16.2 | 12.52 | 62.2 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 1254.2 | 1253.8 | 1254.5 | 10.89 | 0.8 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
# import numba 0.67.0: 4.63 s
# kernel: /home/pi/blinka-turbo/fastpath/fill_kernel.py
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:21
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 34.1 | 34.1 | 37.2 | 0.30 | 29.3 |
| move 32x32 sprite 8 px | 1285 | 1.2 | 1.1 | 1.4 | 0.90 | 864.3 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 34.0 | 34.0 | 34.1 | 0.30 | 29.4 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
# kernel: /home/pi/blinka-turbo/fastpath/cy/fill_kernel.cpython-313-aarch64-linux-gnu.so
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 16:21
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 26.8 | 26.7 | 30.2 | 0.23 | 37.4 |
| move 32x32 sprite 8 px | 1285 | 1.0 | 0.9 | 1.1 | 0.75 | 1041.2 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 26.8 | 26.8 | 27.2 | 0.23 | 37.3 |
# output sha256 d39c3852b738
# _fill_area calls: {'fast': 55, 'fallback': 0}
