## displayio: stock, flags: 
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 17:38
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 3595.1 | 3585.8 | 3618.6 | 31.09 | 0.3 |
| move 32x32 sprite 8 px | 1285 | 42.7 | 42.7 | 42.9 | 33.23 | 23.4 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 3625.6 | 3624.6 | 3626.8 | 31.47 | 0.3 |
# output sha256 d39c3852b738
# last pixel payload sha256 78b6f072aa84 (115200 bytes), displayio from /home/pi/env/lib/python3.13/site-packages/displayio
## displayio: stock, flags: --fast cython
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 17:38
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 115622 | 27.2 | 26.9 | 30.1 | 0.23 | 36.8 |
| move 32x32 sprite 8 px | 1285 | 0.9 | 0.9 | 1.1 | 0.73 | 1065.8 |
| 20 bitmaptools.draw_line, then refresh | 115211 | 27.0 | 26.8 | 27.1 | 0.23 | 37.1 |
# output sha256 d39c3852b738
# last pixel payload sha256 78b6f072aa84 (115200 bytes), displayio from /home/pi/env/lib/python3.13/site-packages/displayio
## displayio: patched, flags: 
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 17:38
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 57811 | 1796.4 | 1791.6 | 1815.4 | 31.07 | 0.6 |
| move 32x32 sprite 8 px | 1285 | 42.4 | 42.3 | 42.5 | 32.97 | 23.6 |
| 20 bitmaptools.draw_line, then refresh | 57605 | 1815.4 | 1812.1 | 1817.1 | 31.51 | 0.6 |
# output sha256 736800b1ef6c
# last pixel payload sha256 78b6f072aa84 (115200 bytes), displayio from /home/pi/blinka-turbo/patched/displayio
## displayio: patched, flags: --fast cython
# displayio refresh, Raspberry Pi Zero 2 W Rev 1.0, Python 3.13.5, 240x240 16-bit, background thread running, 2026-09-18 17:39
| scene | pixels composited | median ms | min ms | max ms | ms per 1k px | fps |
| full screen, bitmap fill | 57811 | 13.7 | 13.5 | 15.7 | 0.24 | 72.8 |
| move 32x32 sprite 8 px | 1285 | 1.0 | 0.9 | 1.1 | 0.74 | 1047.9 |
| 20 bitmaptools.draw_line, then refresh | 57605 | 13.5 | 13.5 | 13.6 | 0.23 | 74.2 |
# output sha256 736800b1ef6c
# last pixel payload sha256 78b6f072aa84 (115200 bytes), displayio from /home/pi/blinka-turbo/patched/displayio
